proyecto,ruta,elemento,clasificacion,referencias,justificacion
tienda_view,src\__init__.py,[modulo] __init__,DUDOSO,0,NO alcanzable; su nombre aparece en una cadena de texto (posible carga dinamica)
tienda_view,src\core\__init__.py,[modulo] core,ACTIVO,1,alcanzable desde main; 1 modulo(s) lo importan
tienda_view,src\core\api_client.py,[modulo] core.api_client,MUERTO,0,NO alcanzable y 0 modulos lo importan
tienda_view,src\core\app_singleton.py,[modulo] core.app_singleton,ACTIVO,1,alcanzable desde main; 1 modulo(s) lo importan
tienda_view,src\core\capture_exaple.py,[modulo] core.capture_exaple,ACTIVO,2,alcanzable desde main; 2 modulo(s) lo importan
tienda_view,src\core\dvr\__init__.py,[modulo] core.dvr,ACTIVO,2,alcanzable desde main; 2 modulo(s) lo importan
tienda_view,src\core\dvr\base.py,[modulo] core.dvr.base,ACTIVO,6,alcanzable desde main; 6 modulo(s) lo importan
tienda_view,src\core\dvr\context.py,[modulo] core.dvr.context,DUDOSO,0,NO alcanzable; su nombre aparece en una cadena de texto (posible carga dinamica)
tienda_view,src\core\dvr\dahua_http.py,[modulo] core.dvr.dahua_http,DUDOSO,1,"NO alcanzable, pero 1 modulo(s) lo importan: core.dvr.context"
tienda_view,src\core\dvr\dahua_sdk.py,[modulo] core.dvr.dahua_sdk,DUDOSO,1,"NO alcanzable, pero 1 modulo(s) lo importan: core.dvr.context"
tienda_view,src\core\dvr\hikconnect.py,[modulo] core.dvr.hikconnect,ACTIVO,4,alcanzable desde main; 4 modulo(s) lo importan
tienda_view,src\core\dvr\hikconnect_channel_encoder.py,[modulo] core.dvr.hikconnect_channel_encoder,ACTIVO,2,alcanzable desde main; 2 modulo(s) lo importan
tienda_view,src\core\dvr\hikvision_http.py,[modulo] core.dvr.hikvision_http,DUDOSO,1,"NO alcanzable, pero 1 modulo(s) lo importan: core.dvr.context"
tienda_view,src\core\dvr\hikvision_sdk.py,[modulo] core.dvr.hikvision_sdk,DUDOSO,1,"NO alcanzable, pero 1 modulo(s) lo importan: core.dvr.context"
tienda_view,src\core\locking_windows.py,[modulo] core.locking_windows,MUERTO,0,NO alcanzable y 0 modulos lo importan
tienda_view,src\core\network\__init__.py,[modulo] core.network,ACTIVO,0,alcanzable desde main; 0 modulo(s) lo importan
tienda_view,src\core\network\api_client.py,[modulo] core.network.api_client,MUERTO,0,NO alcanzable y 0 modulos lo importan
tienda_view,src\core\network\jarvis_api.py,[modulo] core.network.jarvis_api,ACTIVO,1,alcanzable desde main; 1 modulo(s) lo importan
tienda_view,src\core\network\socket_client.py,[modulo] core.network.socket_client,ACTIVO,1,alcanzable desde main; 1 modulo(s) lo importan
tienda_view,src\core\run_controller.py,[modulo] core.run_controller,MUERTO,0,NO alcanzable y 0 modulos lo importan
